Word,Majority_accuracy,Majority_precision,Majority_recall,Majority_f1,RF_accuracy,RF_precision,RF_recall,RF_f1,SVM_accuracy,SVM_precision,SVM_recall,SVM_f1
19 Shukar (شکر),0.5555555555555556,0.30864197530864196,0.5555555555555556,0.39682539682539686,0.7111111111111111,0.6454594017094017,0.7111111111111111,0.6690327350944412,0.7111111111111111,0.7055555555555556,0.7111111111111111,0.6958071278825996
2 Daur (دور),0.3230769230769231,0.10437869822485209,0.3230769230769231,0.15778175313059034,0.4461538461538462,0.373986013986014,0.4461538461538462,0.36891439502630324,0.4153846153846154,0.37179487179487175,0.4153846153846154,0.38677092138630603
20 Qisam (قسم),0.675,0.45562500000000006,0.675,0.5440298507462686,0.7,0.7423076923076923,0.7,0.5981060606060605,0.725,0.7875,0.725,0.6667582417582418
21 Zikar (ذکر),0.875,0.765625,0.875,0.8166666666666667,0.875,0.8078947368421053,0.875,0.8400684931506849,0.85,0.8054054054054054,0.85,0.8270833333333334
22 Darmiyan (درمیان),0.875,0.765625,0.875,0.8166666666666667,0.875,0.765625,0.875,0.8166666666666667,0.9,0.8852564102564102,0.9,0.8677027027027029
23 Deen (دین),0.575,0.330625,0.575,0.41984126984126985,0.575,0.330625,0.575,0.41984126984126985,0.55,0.4584848484848485,0.55,0.4794642857142858
24 Hal (حل),0.875,0.765625,0.875,0.8166666666666667,0.85,0.7628205128205129,0.85,0.8040540540540541,0.825,0.7598684210526316,0.825,0.791095890410959
25 Bijli (بجلی),0.925,0.8556250000000001,0.925,0.888961038961039,0.925,0.8556250000000001,0.925,0.888961038961039,0.925,0.8556250000000001,0.925,0.888961038961039
26 Tor (طور),0.9142857142857143,0.8359183673469387,0.9142857142857143,0.8733475479744137,0.9142857142857143,0.8359183673469387,0.9142857142857143,0.8733475479744137,0.9142857142857143,0.8359183673469387,0.9142857142857143,0.8733475479744137
27 Doctor (ڈاکٹر),0.5714285714285714,0.32653061224489793,0.5714285714285714,0.4155844155844156,0.6285714285714286,0.7177489177489177,0.6285714285714286,0.5303144654088051,0.5428571428571428,0.4947496947496947,0.5428571428571428,0.5077357425183513
28 Safar (سفر),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29 Aayat (آیت),0.9714285714285714,0.943673469387755,0.9714285714285714,0.9573498964803312,0.9714285714285714,0.943673469387755,0.9714285714285714,0.9573498964803312,0.9714285714285714,0.943673469387755,0.9714285714285714,0.9573498964803312
3 Pani (پانی),0.8,0.64,0.8,0.7111111111111112,0.8,0.64,0.8,0.7111111111111112,0.8307692307692308,0.8141636141636142,0.8307692307692308,0.7747603121516166
30 Khat (خط),0.7428571428571429,0.5518367346938776,0.7428571428571429,0.6332552693208431,0.7428571428571429,0.5518367346938776,0.7428571428571429,0.6332552693208431,0.8285714285714286,0.7333333333333334,0.8285714285714286,0.7775510204081633
31 Kehna (کہنا),0.5230769230769231,0.2736094674556213,0.5230769230769231,0.3592851592851593,0.6461538461538462,0.6642735042735043,0.6461538461538462,0.5848416289592759,0.5692307692307692,0.560571343550067,0.5692307692307692,0.539551980336294
32 Dekh (دیکھ),0.5384615384615384,0.28994082840236685,0.5384615384615384,0.37692307692307697,0.5230769230769231,0.3759142496847415,0.5230769230769231,0.3962278106508876,0.5692307692307692,0.5426923076923077,0.5692307692307692,0.5512087912087912
33 Mil (مل),0.49230769230769234,0.24236686390532547,0.49230769230769234,0.32482157018239494,0.676923076923077,0.5061840120663651,0.676923076923077,0.5754778554778555,0.676923076923077,0.5188075082811925,0.676923076923077,0.5866975130133024
34 Lag (لگ),0.55,0.30250000000000005,0.55,0.39032258064516134,0.6333333333333333,0.5722222222222222,0.6333333333333333,0.562610229276896,0.6,0.5930208333333333,0.6,0.5883547008547009
35 Chal (چل),0.36666666666666664,0.13444444444444445,0.36666666666666664,0.19674796747967477,0.6833333333333333,0.6709603174603175,0.6833333333333333,0.6681570319818012,0.7,0.6839464882943144,0.7,0.6895833333333333
36 Soch (سوچ),0.85,0.7224999999999999,0.85,0.7810810810810811,0.825,0.7192307692307692,0.825,0.7684931506849314,0.825,0.7192307692307692,0.825,0.7684931506849314
37 Bhool (بھول),0.975,0.9506249999999999,0.975,0.9626582278481012,0.975,0.9506249999999999,0.975,0.9626582278481012,0.975,0.9506249999999999,0.975,0.9626582278481012
38 Parh (پڑھ),0.875,0.765625,0.875,0.8166666666666667,0.875,0.765625,0.875,0.8166666666666667,0.875,0.765625,0.875,0.8166666666666667
39 Samajh (سمجھ),0.7142857142857143,0.5102040816326531,0.7142857142857143,0.5952380952380952,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.5952380952380952,0.6571428571428571,0.6124794745484401,0.6571428571428571,0.626984126984127
4 Sir (سر),0.6166666666666667,0.38027777777777777,0.6166666666666667,0.47044673539518905,0.6333333333333333,0.5700564971751412,0.6333333333333333,0.5059027777777777,0.6,0.49387755102040815,0.6,0.5343669250645995
40 Khas (خاص),0.8181818181818182,0.6694214876033058,0.8181818181818182,0.7363636363636363,0.8181818181818182,0.6694214876033058,0.8181818181818182,0.7363636363636363,0.7636363636363637,0.7181818181818181,0.7636363636363637,0.7401759530791788
41 Tayyar (تیار),0.6,0.36,0.6,0.44999999999999996,0.6545454545454545,0.5662337662337662,0.6545454545454545,0.5752598448250622,0.7454545454545455,0.7258348451253108,0.7454545454545455,0.7205478205478205
42 Band (بند),0.3,0.09,0.3,0.13846153846153844,0.36,0.2304054054054054,0.36,0.2611111111111111,0.4,0.3375524475524475,0.4,0.34960975609756095
43 Zindah (زندہ),0.68,0.46240000000000003,0.68,0.5504761904761906,0.68,0.46240000000000003,0.68,0.5504761904761906,0.66,0.575111111111111,0.66,0.5918527042577676
44 Mukammal (مکمل),0.4444444444444444,0.19753086419753088,0.4444444444444444,0.2735042735042735,0.5111111111111111,0.5121136173767752,0.5111111111111111,0.43825523135867966,0.4444444444444444,0.40098765432098765,0.4444444444444444,0.4196196196196196
45 Sahih (صحیح),0.7333333333333333,0.5377777777777778,0.7333333333333333,0.6205128205128204,0.7777777777777778,0.8072351421188629,0.7777777777777778,0.7112865497076023,0.8444444444444444,0.8314814814814816,0.8444444444444444,0.8330112721417069
46 Shareef (شریف),0.525,0.275625,0.525,0.36147540983606563,0.825,0.8045454545454547,0.825,0.8145348837209301,0.85,0.8307544757033248,0.85,0.8391233766233765
47 Kam (کم),0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.8285714285714286,0.7690476190476191,0.8285714285714286,0.7970506912442397
48 Sahaamil (شامل),0.6857142857142857,0.47020408163265304,0.6857142857142857,0.5578692493946732,0.6857142857142857,0.48403361344537815,0.6857142857142857,0.5674876847290641,0.6571428571428571,0.5087557603686635,0.6571428571428571,0.5735064935064935
49 Ghair (غیر),0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.8857142857142857,0.8991596638655461,0.8857142857142857,0.8511904761904763,0.9142857142857143,0.922077922077922,0.9142857142857143,0.8979591836734694
5 Hissa (حصہ),0.48333333333333334,0.23361111111111113,0.48333333333333334,0.31498127340823967,0.55,0.4698863636363636,0.55,0.49149242970439805,0.55,0.5574419920769667,0.55,0.5523035230352303
50 Ahem (اہم),0.9714285714285714,0.943673469387755,0.9714285714285714,0.9573498964803312,0.9714285714285714,0.943673469387755,0.9714285714285714,0.9573498964803312,0.9714285714285714,0.943673469387755,0.9714285714285714,0.9573498964803312
6 Roshni (روشنی),0.45,0.2025,0.45,0.27931034482758627,0.5166666666666667,0.5607828282828283,0.5166666666666667,0.4351453548879484,0.48333333333333334,0.47853535353535354,0.48333333333333334,0.4631432748538012
7 Dil (دل),0.5636363636363636,0.3176859504132231,0.5636363636363636,0.4063424947145878,0.5272727272727272,0.3676015473887814,0.5272727272727272,0.4278025005297732,0.5272727272727272,0.5039572192513369,0.5272727272727272,0.5089709410823781
8 Nazar (نظر),0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875599,0.7454545454545455,0.5569023569023568,0.7454545454545455,0.637137330754352,0.7636363636363637,0.6228163992869874,0.7636363636363637,0.6831168831168829
9 Kitaab (کتاب),0.6909090909090909,0.47735537190082644,0.6909090909090909,0.564613880742913,0.6909090909090909,0.47735537190082644,0.6909090909090909,0.564613880742913,0.6909090909090909,0.47735537190082644,0.6909090909090909,0.564613880742913
